field,display_name,browse_link,external_link
title,Título,
creator,Creadores,
date,Fecha de creación,
description,Descripción,
subject,Temas,true
location,Localización
latitude,Latitud
longitude,Longitud
source,Fuente
identifier,Identificador de la fuente,,
type,Tipo,
format,Formato,
rights,Derechos,
rightsstatement,Declaración de derechos,,true
